PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
12887,"Mozilla/5.0 (Windows NT 6.0; rv:12.0) Gecko/20100101 Firefox/12.0",Computer,Unknown,Computer,Unknown,WINDOWS,Vista,Microsoft Corporation,Firefox,12.0,Unknown,Unknown,Unknown,Unknown,6
12877,"Mozilla/5.0 (Linux; U; Android 2.3.3; en-us; BlackBerry Runtime for Android Apps Build/2.0.1.30) Times/1.2.3",Smartphone,Unknown,BlackBerry Runtime for Android Apps,Unknown,ANDROID,2.3.3,Google Inc.,Mozilla,Unknown,Times,1.2.3,en,us,3
12862,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) Times/1.1",Smartphone,Apple,iPhone,iPhone,iOS,5.1,Apple Inc.,Mozilla,Unknown,Times,1.1,en,GB,1
12833,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-SG) iPadTimesAnvil/2.8",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.8,en,SG,1
12777,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; zh-CN) Times of London/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,Times of London,1.3.2,zh,CN,1
12569,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-NZ) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,4.3.3,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,en,NZ,1
12547,"Mozilla/5.0 (Windows NT 6.1; rv:13.0) Gecko/20100101 Firefox/13.0",Computer,Unknown,Computer,Unknown,WINDOWS,7,Microsoft Corporation,Firefox,13.0,Unknown,Unknown,Unknown,Unknown,6
12532,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; it-IT) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,it,IT,1
12448,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; FunWebProducts)",Computer,Unknown,Computer,Unknown,WINDOWS,Vista,Microsoft Corporation,Internet Explorer,9.0,Unknown,Unknown,Unknown,Unknown,6
12334,"Mozilla/5.0 (Linux; U; Android 3.2; en-gb; GT-P7500 Build/HTJ85B) Times/1.3.0",Tablet,Unknown,GT-P7500,Unknown,ANDROID,3.2,Google Inc.,Mozilla,Unknown,Times,1.3.0,en,gb,3
12312,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; en-NG) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.0.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,en,NG,1
12276,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0",Computer,Apple,Computer,Unknown,MAC OS X,10.5,Apple Inc.,Firefox,15.0,Unknown,Unknown,Unknown,Unknown,5
12270,"Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0",Computer,Unknown,Computer,Unknown,WINDOWS,7,Microsoft Corporation,Firefox,16.0,Unknown,Unknown,Unknown,Unknown,6
12270,"Mozilla/5.0 (Linux; U; Android 2.3.6; en-gb; GT-I8150 Build/GINGERBREAD) Times/1.3.0",Smartphone,Unknown,GT-I8150,Unknown,ANDROID,2.3.6,Google Inc.,Mozilla,Unknown,Times,1.3.0,en,gb,3
12255,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-ZW) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.8.1,en,ZW,1
12248,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_4 like Mac OS X; en-GB) iPadTimes/2.4",Tablet,Apple,iPad,iPad,iOS,4.3.4,Apple Inc.,Mozilla,Unknown,iPadTimes,2.4,en,GB,1
12209,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; cs-CZ) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.8.1,cs,CZ,1
12177,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E)",Computer,Unknown,Computer,Unknown,WINDOWS,XP,Microsoft Corporation,Internet Explorer,7.0,Unknown,Unknown,Unknown,Unknown,6
