PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,BROWSER,BROWSER VERSION,UNKNOWN PROPERTIES
1590539,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-US) iPadTimesAnvil/2.8.1,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
1372307,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML like Gecko) Chrome/21.0.1180.89 Safari/537.1,Computer,Unknown,Unknown,Unknown,Windows,7,Chrome,21.0.1180.89,3
1312643,Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3,Tablet,Apple,iPad,iPad,iOS,5.1.1,Safari,5.1,0
1216636,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,4.3.5,Mozilla,Unknown,1
1183318,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
1174233,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-US) Sunday Times/223,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
1074743,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,4.3.3,Mozilla,Unknown,1
1000063,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),Computer,Unknown,Unknown,Unknown,Windows,7,Internet Explorer,9.0,3
998350,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML like Gecko) Version/5.1.7 Safari/534.57.2,Computer,Apple,Unknown,Unknown,Mac OS X,10.6.8,Safari,5.1.7,2
987428,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Computer,Unknown,Unknown,Unknown,Windows,7,Firefox,15.0.1,3
984234,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-AU) iPadTimesAnvil/2.7,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
961171,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-CA) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
889004,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-US) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
841965,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-IE) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
825846,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) Sunday Times/223,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
820112,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.1,Mozilla,Unknown,1
781917,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_2 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.2,Mozilla,Unknown,1
765135,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),Computer,Unknown,Unknown,Unknown,Windows,Vista,Internet Explorer,9.0,3
744091,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; fr-FR) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
740336,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.25 (KHTML like Gecko) Version/6.0 Safari/536.25,Computer,Apple,Unknown,Unknown,Mac OS X,10.7.4,Safari,6.0,2
725332,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.79 Safari/537.4,Computer,Unknown,Unknown,Unknown,Windows,7,Chrome,22.0.1229.79,3
671991,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.0,Mozilla,Unknown,1
668347,Mozilla/5.0 (Linux; U; Android 2.3.4; en-gb; GT-I9100P Build/GINGERBREAD) Times/1.3.0,Mobile,Unknown,GT-I9100P,Unknown,Android,2.3.4,Mozilla,Unknown,3
656257,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-ZA) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
643538,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML like Gecko) Chrome/21.0.1180.89 Safari/537.1,Computer,Unknown,Unknown,Unknown,Windows,7,Chrome,21.0.1180.89,3
636517,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-SG) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
635433,Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML like Gecko) Chrome/21.0.1180.89 Safari/537.1,Computer,Unknown,Unknown,Unknown,Windows,XP,Chrome,21.0.1180.89,3
633053,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,Computer,Unknown,Unknown,Unknown,Windows,XP,Firefox,15.0.1,3
603238,Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML like Gecko) Version/6.0 Mobile/10A403 Safari/8536.25,Tablet,Apple,iPad,iPad,iOS,6.0,Safari,6.0,0
512955,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,5.0.1,Mozilla,Unknown,1
511131,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3,Mozilla,Unknown,1
495589,Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-I9100 Build/GINGERBREAD) Times/1.3.0,Mobile,Unknown,GT-I9100,Unknown,Android,2.3.3,Mozilla,Unknown,3
479835,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-HK) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
476465,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.14 (KHTML like Gecko) Version/6.0.1 Safari/536.26.14,Computer,Apple,Unknown,Unknown,Mac OS X,10.8.2,Safari,6.0.1,2
457221,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-US) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.5,Mozilla,Unknown,1
454423,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML like Gecko) Version/6.0 Safari/536.25,Computer,Apple,Unknown,Unknown,Mac OS X,10.8.1,Safari,6.0,2
440950,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-US) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
435262,Mozilla/5.0 (Linux; U; Android 4.0.3; en-gb; GT-I9100 Build/IML74K) Times/1.3.0,Mobile,Unknown,GT-I9100,Unknown,Android,4.0.3,Mozilla,Unknown,3
433464,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-CA) iPadTimesAnvil/2.7,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
